coin,feature,bucket,tf,n,mean_next,median_next,p90_next,p99_next,|mean|_next,median_abs_next,range_median_next
DOGE,cooloff,1-2,1h,406,0.051277847966900436,0.02471642971842991,1.4473892161955382,3.638700071196157,0.6521646858139253,0.42793324797806287,1.0974591251739128
DOGE,cooloff,3-5,1h,464,-0.005744553436055685,0.008652277644294326,1.2246480410246374,2.9703242528484255,0.5223052584027076,0.34770479899007833,0.816408503283666
DOGE,cooloff,6+,1h,3866,-0.019648043633602705,-0.008032777034000516,0.8622870934854587,2.1117776483429216,0.3873057498726332,0.2667830334108223,0.6636989111775108
ETH,cooloff,0,1h,274,0.019945118798460358,0.016542483203096925,,,0.7340943968997719,0.4520092372741924,1.3445562112066511
ETH,cooloff,1-2,1h,416,0.03914497779129211,0.038935720319643874,1.2997464191458308,3.42405094925306,0.5919759963559543,0.39676409213158514,1.031904333274427
ETH,cooloff,3-5,1h,489,-0.05591918551760726,-0.06780317706316374,1.0276121409800876,2.5314736855911626,0.4578816197517107,0.2987073183292943,0.8038444735692482
ETH,cooloff,6+,1h,3823,-0.010544199270067101,0.0,0.7900011780963646,2.0796540457985015,0.3555104153164543,0.23008605218350908,0.5918280384451494
HYPE,cooloff,0,1h,279,-0.05997839125907135,-0.06082910064173497,,,1.1486921265029935,0.9646767528980416,2.3294797687861193
HYPE,cooloff,1-2,1h,428,0.07095393643086312,0.03432066912255616,2.204545505244372,3.9479195101283686,1.053375885418309,0.8128695217606174,1.9906313536389777
HYPE,cooloff,3-5,1h,464,0.03640164608197981,0.053291637444019546,2.059624039468839,3.6561310632171025,0.9549370943948499,0.7467314173844053,1.7770462348750033
HYPE,cooloff,6+,1h,3828,0.019953304840479063,0.0,1.361116198662771,2.8295323773970105,0.6147020417193202,0.4479573247543889,1.0807808685509304
LIT,cooloff,0,1h,292,0.004209626691008322,-0.10493418100246399,,,1.6350351774297436,1.208137757438954,3.14059247248552
LIT,cooloff,1-2,1h,456,-0.036359575774693745,-0.1634428924690845,3.165024420321494,5.55038777837422,1.4226655237835906,1.1385498820416895,2.6888134125771037
